Case#,Date/Time Reported,Incident Type,Location,Date/Time Occurred,Disposition
021140 2025927,10/6/24,Underage Possession of Alcohol,Center Parking Garage 201 Ag Quad Ln (Slusher,10/6/24,Inactive: Referred by
7 2024-00,11/5/24,"Larceny, All Other",Wing) 290 College Avenue (Squires,11/5/24 10:20,Student Conduct Active
021179 2026009,10/19/24,Underage Possession of Alcohol,Student Center) 720 Washington St SW (West,10/19/24,Inactive: Referred by
1 2024-00,11/6/24,Simple Assault,Upper AJ) 210 Drillfield Dr (near Sandy,11/5/24 17:00,Student Conduct Active
021249 2024-00,11/7/24,Use of Computer for Harassment/Stalking,Hall) 290 College Ave (Squires,06/07/2024- 12:00,Inactive
021315 2024-00,11/7/24,Public Intoxication,Student Center) 2143 Oak Ln (Duck Pond,11/7/24 11/7/24 20:46,CBA
21318,,,Overflow Lot),,
,,,,,
2024-00 021319,11/7/24,Underage Possession of Alcohol,2143 Oak Ln (Duck Pond Overflow Lot),11/7/24 20:59,CBA
2024-00 021413,11/8/24,Public Intoxication/Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),11/8/24 21:45,Inactive: Referred to Student Conduct
2024-00 021421,11/8/24,Underage Possession of Alcohol,720 Washington St SW (West Upper AJ),11/8/24 22:58,Inactive: Referred to Student Conduct
2024/00 021422,11/8/24,Public Intoxication/Alcohol Violation,2965 Oak Lane (Delta Sigma Phi House),11/8/24 23:10,Inactive: Referred to Student Conduct
2024/00 021422,11/8/24,Alcohol Violation/Noise Violation,2965 Oak Lane (Delta Sigma Phi House),11/8/24 23:10,Inactive: Referred to Student Conduct
2024-00 021423,11/8/24,Fake ID,720 Washington St SW (West AJ),11/8/24 23:30,Inactive: Referred to Student Conduct
2024-00 021424,11/8/24,Underage Possession of Alcohol,720 Washington St SW (West AJ),11/8/24 23:31,Inactive: Referred to Student Conduct
2024-00 021427,11/8/24,"Larceny, theft from Building",720 Washington St SW (West AJ),11/8/24 23:57,Inactive
2024-00 021430,11/9/24,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),11/9/2024 13,Inactive: Referred to Student Conduct
2024-00 021433,11/9/24,Public Intoxication,101 Garden Lane (Greenhouse),11/9/2024 51,Inactive: Referred to Student Conduct
2024-00 021437,11/9/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,185 Kent St (CID Bldg),11/9/24 1:22,CBA
2024-00 021443,11/9/24,Public Intoxication/Underage Possession of Alcohol,720 Washington St SW (West AJ),11/9/24 2:20,Inactive: Referred to Student Conduct
2024-00 021451,11/9/24,"Larceny, Pick Pocketing",150 Kent St (outside Owens Hall),11/9/24 9:00,Inactive: Referred to Student Conduct
2024-00 021457,11/9/24,Extortion by Threat,720 Washington St SW (West AJ),11/9/24 0:00,Inactive
2024-00 021467,11/9/24,Public Intoxication,185 Beamer Way (Lane Stadium),11/9/24 14:51,CBA
,,,,,
2024-00,11/9/24,Public Intoxication/Underage Possession of,185 Beamer Way (Lane,11/9/24 14:53,CBA
021468 2024-00,11/9/24,Alcohol Public Intoxication/Underage Possession of,Stadium) 185 Beamer Way (Lane,11/9/24 14:58,CBA
021469 2024-00,11/9/24,Alcohol Public Intoxication/Trespass,Stadium) 185 Beamer Way (Lane,11/9/24 15:15,CBA
021471 2024-00,11/9/24,Public Intoxication/Underage Possession of,Stadium) 185 Beamer Way (Lane,11/9/24 15:40,Inactive: Referred to
021473 2024-00,11/9/24,Alcohol Assault & Battery  Of a  Police Officer,Stadium) 185 Beamer Way (Lane,11/9/24 15:53,Student Conduct CBA
021476 2024-00,11/9/24,Underage Possession of Alcohol/Fake ID,Stadium) 185 Beamer Way (Lane,11/9/24 16:22,CBA
021483 2024-00,11/9/24,Domestic Assault - Family Member,Stadium) 675 Washington St  SW,11/9/24 16:30,CBA
021485 2024-00,11/9/24,Public Intoxication,(Parking Lot) 185 Beamer Way (Lane,11/9/24 16:50,CBA
021488 2024-00,11/9/24,Littering,Stadium) 185 Beamer Way (Lane,11/9/24 17:20,Inactive: Referred to
021490 2024-00,11/9/24,Public Urination,Stadium) 185 Beamer Way (Lane,11/9/24 17:28,Student Conduct Inactive: Referred to
021491 2024-00,11/9/24,Public Intoxication,Stadium) 185 Beamer Way (Lane,11/9/24 18:17,Student Conduct CBA
021496 2024-00,11/9/24,Vandalism/Destruction of Property,Stadium) 185 Beamer Way (Lane,11/9/24 18:19,Inactive
021497 2024-00,11/9/24,Public Intoxication,Stadium) 185 Beamer Way (Lane,11/9/24 18:45,CBA
021502 2024-00,11/9/24,Public Intoxication,Stadium) 185 Beamer Way (Lane,11/9/24 18:07,Inactive: Referred to
021505 2024-00,11/9/24,Simple Assault,Stadium) 185 Beamer Way (Lane,11/9/24 15:30,Student Conduct Inactive: Referred to
21507,,,Stadium),,Student Conduct
,,,,,
2024-00 021516,11/9/24,Vandalism/Destruction of Property,101 Draper Rd NW (near Media Bldg),11/9/24 21:03,Inactive
2024-00 021522,11/9/24,Public Intoxication,890 Drillfield Dr (in the Road),11/9/24 21:56,CBA
2024-00 021533,11/9/24,Public Intoxication,290 College Ave (Squires Student Center),11/09/2024- 11/10/24 23:45,CBA
2024-00 021537,11/10/24,Public Intoxication,140 Otey St NW (Architecture Annex),11/10/2024 57,Inactive
2024-00 021544,11/10/24,Public Intoxication,217 College Ave (Top of the Stairs Bar),11/10/24 2:00,CBA
2024-00 021555,11/10/24,Vandalism/Destruction of Property,410 Drillfield Dr (Eggleston Hall West),11/9/24 22:00,Inactive
2024-00 021559,11/10/24,Vandalism/Destruction of Property,500 Drillfield Dr (Eggleston Hall East),11/9/24 3:35,Inactive
2024-00 021607,11/11/24,"Larceny, theft from Building",630 Washington St SW (Pritchard Hall),11/11/24 4:30,Inactive
2024-00 021621,11/9/24,Simple Assault,25 Beamer Way,11/9/24 14:30,Inactive
2024-00 021626,11/11/24,"Larceny, theft from Building",630 Washington St SW (Pritchard Hall),11/11/24 0:00,Inactive
2024-00 021635,11/11/24,"Larceny, theft from Building",635 Prices Fork Rd (Goodwin Hall),10/18/2024- 11/11/24 12:00,Active
2024-00 021644,11/11/24,"Larceny, theft from Building",720 Washington St SW (West Wing AJ),11/11/24 19:00,Inactive
2024-00 021684,11/12/24,Motor Vehicle Theft,925 Prices Fork Rd,11/9/24 12:00,Active
2024-00 021716,11/12/24,"Larceny, theft from Building",895 Washington St SW (McComas Hall),11/12/24 21:10,Inactive
2026054 37,10/26/24,Underage Possession of Alcohol,180 Kent St (Vawter Hall),10/26/24,Inactive: Referred by Student Conduct
,,,,,
2024-00,11/14/24,Driving Under the Influence of Alcohol,895 Washington St SW (near,11/14/24 0:12,CBA
021795 2024-00,11/14/24,"Larceny, theft from Building",McComas Hall) 895 Washington St SW,11/12/24 15:30,Active
021827 2024-00,11/14/24,Fake ID,( McComas Hall) Duck Pond Dr/ East West,11/14/24 22:48,Inactive: Referred to
021850 2024-00,11/14/24,Vandalism/Destruction of Property,Campus Dr 570 Washington St SW (Hoge,11/14/24 18:30,Student Conduct Inactive
021853 2024-00,11/15/24,Underage Possession of / Fake ID,Hall) 410 Washington St SW (Miles,11/15/24 23:52,Inactive: Referred to
021941 2024-00,11/16/24,Underage Possession of Alcohol,Hall) 185 Kent St (CID Bldg),11/16/24 1:14,Student Conduct Inactive: Referred to
021942 2024-00,11/16/24,Underage Possession of Alcohol,240 Kent St (Whitehurst Hall),11/16/24 2:49,Student Conduct Inactive: Referred to
021946 2024-00,11/17/24,Public Intoxication/Underage Possession of,140 Otey St NW (Architecture,11/17/24 0:09,Student Conduct Inactive: Referred to
022011 2024-00,11/17/24,"Alcohol/Fake ID/Larceny, theft from Building Underage Possession of Alcohol/Falsely",Annex) 101 Draper Rd (Media Lot),11/17/24 0:40,Student Conduct CBA
022015 2024-00,11/17/24,Identifying to Law Enforcement Underage Possession of Alcohol,190 West Campus Dr (New,11/17/24 1:30,Inactive: Referred to
022016 2024-00,11/17/24,Public Intoxication/Underage Possession of,Hall West) 201 Draper Rd NW (Media,11/17/24 1:38,Student Conduct CBA
022017 2024-00,11/17/24,Alcohol/Fake ID Underage Possession of Alcohol/ Fake ID,Building Parking Lot) 101 Draper Rd (Media Lot),11/17/2024 9,Inactive: Referred to
022020 2024-00,11/17/24,Public Intoxication/Underage Possession of,101 Draper Rd (Media,11/17/24 1:38,Student Conduct Inactive: Referred to
022021 2024-00,11/17/24,"Alcohol Vandalism/Destruction of Property/Larceny,",Building Lot) 590 Washington St SW (New,11/17/24 2:00,Student Conduct Inactive
022041 2024-00,11/18/2024 Weapons Violation,theft from Building,Residence Hall East) 260 Alumni Mall (Pearson Hall,11/15/24 20:00,Inactive: Referred to
22068,,,East),,Student Conduct
,,,,,
2024-00 022071,11/18/24,"Larceny, theft from Building",920 West Campus Dr (Johnston Student Center),11/18/24 14:57,Inactive
2024-00 022094,11/19/24,Fire Investigation,1455 Perry St,11/19/24 4:38,Active
2024-00 022147,11/19/24,Fraud/Extortion by Threat,530 Washington St SW (O'Shaughnessy Hall),11/16/24 15:00,Active
2024-00 022159,11/20/24,Public Intoxication,Otey St SW/Washington St,11/20/24 1:35,CBA
2024-00 022160,11/20/24,Public Intoxication,Otey St SW/Washington St,11/20/24 1:40,Inactive: Referred to Student Conduct
2024-00 022305,11/20/24,Simple Assault,410 Drillfield Dr (Eggleston Hall West),12/20/24 23:00,Active
2024-00 022313,11/21/24,Underage Possessio of Alcohol/Fake ID,201 Ag Quad Ln(Slusher Tower),11/21/24 22:37,Inactive: Referred to Student Conduct
2024-00 022314,11/21/24,"Larceny, All Other",285 Ag Quad Ln (East Side of Dietrick Hall),11/15/2024 20,Inactive
2024-00 022318,11/22/24,Vandalism/destruction of Property,180 Kent St (Vawter Hall),11/21/2024- 11/22/24 23:00,Inactive
2025933 8,10/5/24,Underage Possession of Alcohol,180 Kent St (Vawter Hall),10/4/24,Inactive: Referred by Student Conduct
2026086 5,11/1/24,Underage Possession of Alcohol,180 Kent St (Vawter Hall),10/31/24,Inactive: Referred by Student Conduct
2024-00 022358,11/22/24,Indecent Exposure,620 Drillfield Dr (Public Area of Torgersen Hall),11/3/24 17:20,Active
2024-00 022366,11/22/24,Fake ID,530 Washington St SW (O'Shaughnessy Hall),11/22/24 16:13,Inactive: Referred to Student Conduct
2024-00 022375,11/22/24,Public Intoxication/Underage Possession of Alsohol/Fake ID,217 College Ave (Top of the Stairs Bar),11/22/24 22:37,CBA
2024-00 022376,11/22/24,Driving Under the Influence of Alcohol/ Underage Possession of Alsohol,110 Draper Rd NW (in front of Benny Marzano's),11/22/24 22:42,CBA
,,,,,
2024-00,11/23/24,Public Intoxication,185 Beamer Way (Lane,11/23/24 22:58,CBA
022407 2024-00,11/25/24,"Larceny, theft from Building",Stadium) 220 Gilbert St (Gilbert Place),11/11/2024- 08:30,Inactive
022424 2025933,10/5/24,Underage Possession of Alcohol,180 Kent St (Vawter Hall),11/15/24 10/4/24,Inactive: Referred by
8 2026010,10/19/24,Underage Possession of Alcohol,630 Washington St SW,10/19/24,Student Conduct Inactive: Referred by
1 2024-00,11/27/24,Vandalism/destruction of Property,(Pritchard Hall) 181 Turner St NW (nearby,11/26/2024- 14:30,Student Conduct Inactive
022447 2024-00,11/27/24,Threats,Major Williams Hall) 630 Washington St SW,11/27/24 11/27/24 18:57,Inactive: Referred to
022462 2024-00,11/29/24,Trespassing,(Pritchard Hall) 901 Prices Fork Rd (The Inn,11/29/24 9:45,Student Conduct Inactive
022485 2024-00,11/30/24,Driving Under the Influence of Alcohol,@  Tech 290 College Ave (Squires,11/30/2024 36,CBA
022497 2024-00,11/30/24,Public Intoxication,Parking Lot) 185 Beamer Way (Lane,11/30/24 18:12,CBA
022520 2024-00,11/30/24,Public Intoxication/Underage Possession of,Stadium) 185 Beamer Way (Lane,11/30/24 18:30,CBA
022521 2024-00,11/30/24,Alsohol/Fake ID Public Intoxication,Stadium) 510 Beamer Way (near Rec,11/30/24 19:05,CBA
022527 2024-00,11/30/24,Public Intoxication,Sports Field House) 185 Beamer Way (Lane,11/30/24 19:09,CBA
022528 2024-00,11/30/24,Public Intoxication,Stadium) 185 Beamer Way (Lane,11/30/24 19:26,CBA
022529 2024-00,11/30/24,Underage Possession of Alcohol,Stadium) 285 Ag Quad Ln (Dietrick,11/30/24 19:45,Inactive: Referred to
022531 2024-00,11/30/24,Public Intoxication,Hall) 185 Beamer Way (Lane,11/30/24 19:47,Student Conduct CBA
22532,,,Stadium),,
,,,,,
2024-00 022535,11/30/24,Public Intoxication,895 Washington St SW (nearby McComas Gym),11/30/24 19:59,CBA
2024-00 022539,11/30/24,Public Intoxication,530 Washington St SW (nearby),11/30/24 20:13,CBA
2024-00 022541,11/30/24,Public Intoxication,185 Beamer Way (Lane Stadium),11/30/24 20:00,CBA
2024-00 022545,11/30/24,Public Intoxication,330 Sterrett Dr,11/30/24 20:45,CBA
2024-00 022546,11/30/24,Public Intoxication/Fake ID,185 Beamer Way (Lane Stadium),11/30/24 20:55,CBA
2024-00 022556,11/30/24,Public Intoxication,185 Beamer Way (Lane Stadium),11/30/24 20:00,Inactive: Referred to Student Conduct
2024-00 022559,11/30/24,Underage Possession of Alcohol,185 Beamer Way (Lane Stadium),11/30/24 20:00,Inactive: Referred to Student Conduct
2024-00 022562,11/30/24,Underage Possession of Alcohol,185 Beamer Way (Lane Stadium),11/30/24 20:00,Inactive: Referred to Student Conduct
2024-00 022565,11/30/24,"Larceny, All Other-Pick Pocketing",185 Beamer Way (Lane Stadium),11/30/24 18:30,Inactive
2024-00 022566,11/30/24,Public Intoxication,185 Beamer Way (Lane Stadium),11/30/24 21:53,CBA
2024-00 022570,11/30/24,Public Intoxication,185 Beamer Way (Lane Stadium),11/30/24 22:15,CBA
2024-00 022575,11/30/24,Vandalism/destruction of Property,600 Washington St SW (Payne Hall),11/30/24 21:30,Inactive
2024-00 022585,11/30/24,Vandalism/destruction of Property,101 Draper Rd NW (Media Lot),11/30/24 23:29,Inactive
2024-00 022592,11/30/24,Vandalism/destruction of Property,570 Washington St SW (Hoge Hall),11/30/2024- 12/1/24 10:00,Inactive
2024-00 022611,12/1/24,Public Intoxication,201 N Main St (outside Centro Taco Bar),12/1/24 2:34,CBA
,,,,,
2024-00,"12/01/2024
Larceny, All Other",185 Beamer Way (Lane,"11/30/2024-
1100-0030
Inactive",,
022614 VTPD – 098(a),,Stadium),12/1/24 Last upd 08/20/2010,,
,,,MONTHLY CRIME LOG: DECEMBER 2024,Occurrence,
2024-00,12/2/24,"Vandalism/destruction of Property/Larceny,",410 Washington St SW(Miles,(s) 11/27/2024- 12:00,Inactive
022649 2024-00,12/2/24,"Theft from Bldg) Larceny, all Other (Pick Pocketing)",Hall) 25 Beamer Way (Merryman,12/2/24 11/30/24 19:00,Inactive
022659 2024-00,12/2/24,"Larceny, Theft from Building",Center) 201 Ag Quad Ln (Slusher,12/2/24 19:49,Inactive
022678 2024-00,12/3/24,Motor Vehicle Theft,Tower) 185 Beamer Way,11/30/24 18:00,Active
022696 2024-00,12/3/24,"Larceny, Theft from Building",185 Kent St (CID),12/3/24 23:09,Active
022741 2024-00,12/4/24,Driving Under the Influence of Alcohol,290 College Ave (Squires,12/4/24 2:21,CBA
022749 2026058,10/25/24,Underage Possession of Alcohol,Parking Lot) 660 Washington St SW,10/25/24,Inactive: Referred by
0 2026081,11/1/24,Underage Possession of Alcohol X 2,(Payne Hall) 720 Washington St SW (West,11/1/24,Student Conduct Inactive: Referred by
4 2024-00,12/4/24,"Larceny, Theft from Building",Lower AJ) 430 Old Turner St (Lavery,12/4/24 15:30,Student Conduct Active
022774 2024-00,12/4/24,"Larceny, theft Of Auto Parts",Hall) 946 Southgate Dr (Lane,12/4/24 20:00,Active
022783 2024-00,12/4/24,Fake ID,"Stadium, lot 2) 330 Sterrett Dr (Public Safety",12/4/24 21:04,Inactive
022789 2024-00,12/6/24,Vandalism/destruction of Property,Bldg) 175 West Campus Dr,12/6/24 14:25,Inactive
22891,,,,,
,,,,,
2024-00 022900,12/6/24,Fake ID,330 Sterrett Dr (Public Safety Bldg),12/6/24 18:17,Inactive
2024-00 022911,12/6/24,"Larceny,theft from Building",720 Washington St SW (West AJ),12/6/24 20:09,Inactive
2024-00 022923,12/6/24,Public Intoxication/Underage Possession of Alcohol X 3,2454 Oak Ln (near Innovative House),12/6/24 21:42,Inactive: Referred to Student Conduct
2024-00 022926,12/6/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,180 Kent St (outside Vawter Hall),12/6/24 21:53,Inactive
2024-00 022933,12/6/24,Public Intoxication/Underage Possession of Alcohol,Otey St NW and W Roanoke St,12/6/24 23:31,Inactive: Referred to Student Conduct
2024-00 022934,12/6/24,Underage Possession of Alcohol,2475 Oak Ln (SPEH),12/6/24 23:33,Inactive: Referred to Student Conduct
2024-00 022940,12/7/24,Public Intoxication,700 Washington St (East AJ),12/7/2024 20,Inactive: Referred to Student Conduct
2024-00 022942,12/7/24,Underage Possession of Alcohol,720 Washington St SW (West AJ),12/7/2024 29,Inactive: Referred to Student Conduct
2024-00 022947,12/7/24,Fake ID X 2,155 Otey St NW (GLC Bldg),12/7/2024 55,Inactive: Referred to Student Conduct
2024-00 022947,12/7/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,155 Otey St NW (GLC Bldg),12/7/2024 55,Inactive: Referred to Student Conduct
2024-00 022956,12/7/24,Underage Driving Under the Influence of Alcohol/Refuse Blood Test,Washington St SW,12/7/24 1:41,CBA
2024-00 022957,12/7/24,Public Intoxication/Underage Possession of Alcohol,2143 Oak Ln (Drone Park),12/7/24 1:59,Inactive: Referred to Student Conduct
2024-00 022988,12/7/24,"Larceny, Theft from Building",285 Ag Quad Ln (Dietrick Hall),12/7/24 13:00,Inactive
2024-00 023002,12/7/24,"Larceny, Theft from Building",720 Washington St SW,12/7/24 2:00,Inactive
2024-00 023003,12/7/24,"Larceny, Theft from Building",720 Washington St SW (AJ Hall West Wing),12/7/24 2:00,Inactive
,,,,,
2024-00,12/8/24,Public Intoxication/Underage Possession of,570 Washington St SW (Hoge,12/8/24 0:31,CBA
023030 2024-00,12/8/24,Alcohol/Fake ID Simple Assault X 2,Hall) 630 Washington St SW,12/8/2024 54,Inactive
023032 2024-00,12/8/24,Vandalism/destruction of Property,(Pritchard Hall) 720 Washington St SW (West,12/8/24 2:07,Inactive
023039 2024-00,12/8/24,Public Intoxication/Underage Possession of,AJ) 570 Washington St SW (Hoge,12/8/24 2:49,Inactive: Referred to
023043 2024-00,12/8/24,"Alcohol Larceny, Theft from Building",Hall) 895 Washington St SW,12/8/24 16:00,Student Conduct Inactive
023067 2024-00,12/9/24,Burglary/ Vandalism/destruction of Property,(McComas Hall) 206 Washington St SW,12/06/2024- 17:00,Inactive
023091 2024-00,12/10/24,Fake ID,(Women's Center) 675 Washington Street NW,12/9/24 12/10/24 20:25,Inactive
023196 2024-00,12/11/24,Driving Under the Influence of Alcohol,Otey Street NW,12/11/24 0:04,CBA
023210 2024-00,12/11/24,"Larceny, Theft from Building",630 Washington Street,12/06/2024- 08:00,Inactive
023245 2024-00,12/12/24,Public Intoxication/Underage possession of,(Pritchard Hall) 630 Washington Street,12/11/24 12/12/24 01:22,Inactive: Referred to
023315 2024-00,12/12/24,alcohol Underage Posession of Alcohol,(Pritchard Hall) 201 Ag Quad Ln (Slusher,12/12/24 3:46,Student Conduct Inactive: Referred to
023317 2024-00,12/11/24,Underage Possession of Alcohol X 4,Tower) 410 Drillfield Dr (Eggleston,12/11/2024 45,Student Conduct Inactive: Referred to
023318 2024-00,12/12/24,Stalking,Hall) 290 College Ave (Squires,11/23/2024- 00:00,Student Conduct Active
023355 2024-00,12/12/24,Vandalism,Student Center) 201 Ag Quad Ln (Slusher,12/5/24 12/11/2024- 15:30,Inactive
023339 2024-00,12/12/24,Vandalism,Tower) 201 Ag Quad Ln (Slusher,12/12/24 12/11/2024- 22:30,Inactive
23347,,,Tower),12/12/24,
,,,,,
2026208 0,11/24/24,Underage Possession of Alcohol X 2,500 Drillfield Drive (Eggleston Main),11/23/2024- 11/24/24,Inactive: Referred by Student Conduct
