Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
UM 24-326618,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,11/13/2024 1844,11/13/24,University Ave  / 16th Ave,Closed
UM 24-326671,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,11/13/2024 1945,11/13/24,University Ave  / 14th Ave,Closed
UM 24-326700,Auto Theft,11/13/2024 2037,11/13/24,930 University Ave ,
TC24-111,Liquor Law Violation,11/9/24 3:00,11/13/24,Pioneer Hall,Disciplinary Referral
TC24-112,Liquor Law Violation,11/3/24 0:00,11/13/24,Territorial Hall,Disciplinary Referral
TC24-113,Liquor Law Violation,11/8/24 0:15,11/13/24,Comstock Hall,Disciplinary Referral
TC24-114,Stalking,24-Sep,11/13/24,Minneapolis Campus (Electronic),Reported
WCSO 24-8377,Theft,11/13/2024  0836,11/13/24,35838 120th St,Inactive
UM 24-323721,Property Damage Accident Report,11/10/2024 1224,11/12/24,1364 Eckles Ave,Closed
UM 24-325375,Crisis Intervention,11/12/2024 1236,11/12/24,1180 Gibbs Ave,Closed
UM 24-325392,Recover Property,11/12/2024 1300,11/12/24,206 Church St ,Closed
UM 24-325488,Damage to Property Report,11/11/2024 1500,11/12/24,412 22nd Ave S,Inactive
UM 24-325032,Miscellaneous,11/11/2024 2310,11/12/24,412 22nd Ave S,Closed
UM 24-324960,Uncure Business,11/11/2024 2115,11/11/24,106 Pleasant St ,Closed
UM 24-324912,Miscellaneous,11/11/2024 2010,11/11/24,515 Delaware St ,Closed
UM 24-324591,Miscellaneous,11/11/2024 0915,11/11/24,2301 6th St ,Closed
TC24-109,Stalking,2022 - Prent,11/11/24,Ferguson Hall,Reported
TC24-110,Liquor Law Violation,11/2/24 2:15,11/11/24,Middlebrook Hall,Disciplinary Referral
UM 24-324497,Miscellaneous,11/08/2024 2230,11/11/24,231 Pillsbury Dr ,
UM 24-324514,Bike Theft,11/08/2024 1930,11/11/24,1122 University Ave ,Inactive
UM 24-324220,Auto Theft,11/10/2024 1430,11/11/24,601 Delaware St ,Inactive
UM 24-323164,Open Bottle in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/09/2024 2022,11/10/24,2701 University Ave ,Closed
UM 24-323575,Trespass,11/10/2024 0815,11/10/24,500 Harvard St ,Closed
UM 24-323702,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,11/10/2024 0321,11/10/24,210 Delaware St ,
UM 24-323769,Fal Info-Real Name / Warrant,11/10/2024 1325,11/10/24,409 Cedar Ave S,
UM 24-323933,Trespass,11/10/2024 1703,11/10/24,117 Pleasant St ,Closed
UM 24-323854,Terroristic Threats,11/09/2024 2330,11/10/24,University Ave  / Walnut St,
UM 24-322391,Health Welfare Hold / Crisis Intervention,11/09/2024 0000,11/9/24,417 Walnut St ,Closed
UM 24-322606,U of Force,11/09/2024 0723,11/9/24,600 Cedar Ave S,Closed
UM 24-322668,Trespass,11/09/2024 0909,11/9/24,407 15th Ave ,Closed
UM 24-322795,Bike Theft,10/30/2024 2300,11/9/24,1122 University Ave ,
UM 24-322914,Harassment,11/08/2024 1900,11/9/24,1301 University Ave ,
UM 24-323125,Recover Property,11/09/2024 1929,11/9/24,319 15th Ave ,Closed
UM 24-323369,Driving After Revocation,11/09/2024 2358,11/9/24,19th Ave S / 2nd St S,Closed
UM 24-321767,Hit/Run Property Damage,10/31/2024 0836,11/8/24,2818 Como Ave ,Inactive
UM 24-321387,Narcotics Violation / Warrant,11/08/2024 0112,11/8/24,14 Ave  / 6th St ,
MP 24-321271,Criminal Vehicular Homicide / Driving While Intoxicated / Hit/Run with Injury,11/7/24 22:24,11/8/24,Riverside Ave & Cedar Ave ,Reported
UM 24-321533,Damage to Property Report,11/07/2024 1904,11/8/24,Pleasant St  / University Ave,
UM 24-321593,Warrant,11/08/2024 0923,11/8/24,407 Cedar Ave S,Arrest
UM 24-321738,Non-Vehicular Accident,11/08/2024 1204,11/8/24,420 Washington Ave ,Closed
UM 24-321777,Theft,11/08/2024 0200,11/8/24,Intercampus Transitway / Energy Park Dr,Inactive
UM 24-321983,Theft from Building,11/08/2024 1543,11/8/24,420 Washington Ave ,Inactive
UM 24-322080,Miscellaneous,11/08/2024 1803,11/8/24,Riverside Ave / 20th Ave S,Closed
UM 24-322091,Auto Theft,11/08/2024 0915,11/8/24,1717 University Ave ,Inactive
UM 24-322239,Posss Fal Altered Identification / Consumption-Liquor by Minor,11/08/2024 2125,11/8/24,300 Washington Ave ,Closed
UM 24-322285,Traffic Law Enforcement,11/08/2024 2209,11/8/24,Harvard St  / Washington Ave,Closed
UM 24-322357,Consumption-Liquor by Minor,11/08/2024 2330,11/8/24,University Ave  / 15th Ave,Closed
UM 24-321287,Assist Other Agency,11/07/2024 2252,11/8/24,Huron Blvd  / University Ave,Jurisdiction Transfer
UM 24-320576,Bike Theft,11/06/2024 1800,11/7/24,417 Walnut St ,Inactive
UM 24-320594,Damage to Property Graffiti,11/06/2024 1000,11/7/24,321 19th Ave S,Inactive
UM 24-320611,Trespass / Fal Info Fake Name / Domestic,11/07/2024 0836,11/7/24,390 24th Ave ,
UM 24-320779,Assist Other Agency,11/07/2024 1218,11/7/24,1 Washington Ave ,Jurisdiction Transfer
UM 24-321058,Theft from Building,10/31/2024 0530,11/7/24,300 Washington Ave ,Inactive
UM 24-321097,Health Welfare Hold,11/07/2024 1817,11/7/24,500 Harvard St ,Closed
UM 24-321280,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/07/2024 2234,11/7/24,10th Ave  / 5th St ,
UM 24-321148,Driving While Intoxicated,11/07/2024 1923,11/7/24,18th Ave  / Talmage Ave ,
UM 24-321333,Warrant,11/07/2024 2343,11/7/24,University Ave  / Malcolm Ave,Active
UM 24-319710,Miscellaneous,11/06/2024 0836,11/6/24,206 Church St ,Closed
UM 24-319686,Warrant,11/06/2024 0800,11/6/24,1425 4th St ,Closed
UM 24-319814,Warrant,11/06/2024 1100,11/6/24,409 Cedar Ave S,Arrest
UM 24-319910,Hit/Run Property Damage,11/06/2024 1243,11/6/24,4th St  / 17th Ave ,
UM 24-320059,Theft from Building,11/06/2024 1506,11/6/24,420 Washington Ave ,Inactive
UM 24-320084,Burglary of Business / Flee Officers on Foot / Obstruct Legal Process / Posss Burglary Tools,11/06/2024 1555,11/6/24,917 Washington Ave ,
UM 24-320368,Hit/Run No Injury,10/17/2024 2033,11/6/24,1212 4th St ,
UM 24-320378,Health Welfare Hold,11/06/2024 2228,11/6/24,1 Washington Ave ,Closed
TC24-107,Liquor Law Violation x3,9/29/24 1:15,11/6/24,17th Avenue Residence Hall,Disciplinary Referral
TC24-108,Liquor Law Violation,11/1/24 22:15,11/6/24,Territoral Hall,Disciplinary Referral
MP 24-318136,Assault,11/4/24 20:11,11/6/24,2450 Riverside Ave,Reported
MP 24-716548,Theft,10/25/24 17:00,11/6/24,15th Ave  & Rollins Ave ,Reported
UM 24-319150,Driving After Revocation,11/05/2024 1650,11/5/24,5th St  / 15th Ave ,Closed
UM 24-319284,No Valid Driver's Licen,11/05/2024 1837,11/5/24,615 Washington Ave ,Closed
UM 24-319388,Non-Vehicular Accident,11/03/2024 2300,11/5/24,123 Harvard St ,Closed
UM 24-319478,Uncure Business,11/05/2024 2243,11/5/24,2609 4th St ,Closed
UM 24-319493,Narcotics Violation / Warrant,11/05/2024 2301,11/5/24,500 Harvard St ,
UM 24-319518,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/05/2024 2349,11/5/24,Riverside Ave / 23rd Ave S,Closed
TC24-104,Liquor Law Violation,10/31/24 23:45,11/5/24,17th Avenue Residence Hall,Disciplinary Referral
TC24-105,Liquor Law Violation x3,11/1/24 23:00,11/5/24,17th Avenue Residence Hall,Disciplinary Referral
TC24-106,Stalking,11/5/24,11/5/24,Minneapolis Campus (Electronic),Reported
UM 24-318570,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/05/2024 0135,11/5/24,4th St  / Oak St ,Closed
MP 24-316218,Assault,11/2/24 18:14,11/4/24,2450 Riverside Ave,Reported
MP 24-716227,Bike Theft,10/30/24 12:50,11/4/24,159 Pillsbury Dr ,Reported
MP 24-716273,Hit and Run-Unattended Vehicle,11/1/24 0:35,11/4/24,1235 4th St ,Reported
UM 24-317571,Miscellaneous,11/04/2024 0103,11/4/24,526 Delaware St ,
UM 24-317638,Miscellaneous,11/04/2024 0300,11/4/24,505 Washington Ave ,Closed
UM 24-317675,Terroristic Threats,11/04/2024 0615,11/4/24,501 Washington Ave ,
UM 24-317785,Damage to Property,11/01/2024 1430,11/4/24,2030 University Ave ,Closed
UM 24-317914,Violation of Restraining Order,11/04/2024 1203,11/4/24,505 Washington Ave ,
UM 24-318076,Damage to Property,11/03/2024 0712,11/4/24,1304 4th St ,
UM 24-318204,No Proof of Insurance,11/04/2024 1705,11/4/24,University Ave  / St Mary's Ave,Closed
UM 24-318270,Miscellaneous,11/04/2024 1759,11/4/24,405 15th Ave ,Closed
UM 24-318300,Bike Theft / Damage to Property,10/14/2024 0000,11/4/24,1011 29th Ave ,Inactive
UM 24-317511,Recovered Vehicle,11/03/2024 2308,11/4/24,9th Ave  / 6th St ,Closed
UM 24-317550,Warrant,11/04/2024 0029,11/4/24,269 19th Ave S,Closed
UM 24-316519,Miscellaneous,11/02/2024 2337,11/3/24,1 10th Ave ,Closed
UM 24-316619,Warrant,11/03/2024 0131,11/3/24,56 Riverside Ave,Arrest
UM 24-316691,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/03/2024 0211,11/3/24,320 Cedar Ave S,Closed
UM 24-316900,Trespass / Posss Burglary Tools,11/03/2024 0947,11/3/24,615 Fulton St ,
UM 24-316988,Theft,11/03/2024 0000,11/3/24,1829 University Ave ,
UM 24-317189,Narcotics Violation,11/03/2024 1649,11/3/24,2001 Bloomington Ave,
UM 24-315354,Consumption-Liquor by Minor / Open Bottle,11/01/2024 2200,11/2/24,4th St  / Oak St ,Closed
UM 24-315482,Suicide,11/02/2024 0002,11/2/24,614 Delaware St ,Closed
UM 24-315573,Open Bottle / Driving After Revocation,11/02/2024 0201,11/2/24,Interstate 35W S / University Ave,Closed
UM 24-315615,Auto Theft,11/01/2024 2005,11/2/24,401 Oak St ,
UM 24-316037,Recover Property,11/02/2024 1458,11/2/24,505 Washington Ave ,Closed
UM 24-316099,Miscellaneous,11/02/2024 0800,11/2/24,1122 University Ave ,
UM 24-314564,Flee Officer on Foot / Warrant,11/01/2024 0801,11/1/24,419 Cedar Ave S,
UM 24-314639,Burglary of Dwelling,11/01/2024 0000,11/1/24,1000 University Ave ,
UM 24-314688,Burglary of Dwelling,11/01/2024 0000,11/1/24,1000 University Ave ,
UM 24-314766,Recover Property,10/01/2024 1214,11/1/24,615 Washington Ave ,Closed
UM 24-314820,Bike Theft,10/29/2024 1530,11/1/24,300 19th Ave S,
UM 24-314832,Theft,10/24/2024 1800,11/1/24,1008 27th Ave ,Inactive
UM 24-314954,Non-Vehicular Accident,11/01/2024 1540,11/1/24,515 Delaware St ,Closed
UM 24-315032,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft / Trespass,11/01/2024 1626,11/1/24,421 Washington Ave ,
UM 24-315044,Burglary of Dwelling,11/01/2024 0030,11/1/24,1000 University Ave ,
UM 24-315050,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,11/01/2024 1500,11/1/24,312 Church St ,Inactive
UM 24-315071,Obscene Phone Calls,10/28/2024 0001,11/1/24,206 Church St ,
UM 24-315146,Driving After Suspension,11/01/2024 1840,11/1/24,22nd Ave S / Franklin Ave E,Closed
UM 24-315423,Posss Fal Altered Identification / Consumption-Liquor by Minor,11/01/2024 2303,11/1/24,4th St  / 16th Ave ,Closed
UM 24-314434,Theft from Buildling,11/01/2024 0153,11/1/24,1022 University Ave ,
UM 24-314301,Criminal xual Conduct-Molest,10/31/2024 2200,10/31/24,2508 Delaware St ,
UM 24-313512,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,10/31/2024 0717,10/31/24,23rd Ave  / 6th St ,Closed
UM 24-313605,Warrant,10/31/2024 1005,10/31/24,Cedar Ave S / 6th St S,Arrest
UM 24-313669,Miscellaneous,10/31/2024 1129,10/31/24,84 Church St ,Closed
UM 24-313696,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report / Driving After Revocation,10/31/2024 1200,10/31/24,385 East River Parkway,Closed
UM 24-313701,U of Force,10/31/2024 1155,10/31/24,Church St  / University Ave,Closed
UM 24-313712,Bike Theft,10/31/2024 0910,10/31/24,123 Harvard St ,Inactive
UM 24-314081,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,10/31/2024 1843,10/31/24,1 Washington Ave ,
UM 24-314205,Warrant,10/31/2024 2134,10/31/24,University Ave  / Oak St ,Arrest
UM 24-314283,Consumption-Liquor by Minor / Public Urination,10/31/2024 2308,10/31/24,University Ave  / 13th Ave,Closed
UM 24-312473,Trespass,10/30/2024 0824,10/30/24,110 Union St ,Closed
UM 24-312495,Auto Theft,10/30/2024 0849,10/30/24,1301 University Ave ,Inactive
UM 24-312781,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,10/30/2024 1200,10/30/24,225 19th Ave S,Inactive
UM 24-312826,Bike Theft,10/30/2024 1300,10/30/24,159 Pillsbury Dr ,Inactive
UM 24-312884,Bike Theft,10/30/2024 1210,10/30/24,128 Pleasant St ,Inactive
UM 24-312552,Crisis Intervention,10/30/2024 1026,10/30/24,425 13th Ave ,Closed
UM 24-312736,Bike Theft,10/29/2024 0700,10/30/24,300 Washington Ave ,
UM 24-312819,Bike Theft,10/29/2024 1530,10/30/24,326 17th Ave ,
UM 24-312821,Auto Theft,10/30/2024 0947,10/30/24,1100 Washington Ave ,Closed
UM 24-312941,Recover Property,10/30/2024 1629,10/30/24,15th AVe  / 4th St ,Closed
UM 24-312966,Driving After Suspension,10/30/2024 1651,10/30/24,University Ave  / 16th Ave,Closed
UM 24-312988,No Proof of Insurance,10/30/2024 1710,10/30/24,University Ave  / 17th Ave,Closed
UM 24-313005,Recover Property,10/30/2024 1628,10/30/24,Oak St  / Washington Ave,Closed
UM 24-313051,Miscellaneous,10/30/2024 1800,10/30/24,2701 University Ave ,Closed
UM 24-313134,No Proof of Insurance,10/30/2024 1903,10/30/24,5th St  / 17th Ave ,Closed
UM 24-313135,Driving While Intoxicated,10/30/2024 1903,10/30/24,Curfew St / University Ave W,
UM 24-313146,Recover Property,10/30/2024 1826,10/30/24,1536 Cleveland Ave N,Closed
UM 24-313166,Recover Property,10/30/2024 1936,10/30/24,4th St  / Oak St ,Closed
UM 24-313175,No Proof of Insurance,10/30/2024 1943,10/30/24,University Ave  / 26th Ave,Closed
UM 24-313181,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,10/30/2024 1855,10/30/24,1334 Eckles Ave N,Inactive
UM 24-313212,Trespass,10/30/2024 2035,10/30/24,269 19th Ave S,Closed
UM 24-313340,Reckless Driving,10/30/2024 2321,10/30/24,333 East River Pkwy,Closed
TC24-100,Liquor Law Violation,10/25/24 1:30,10/30/24,Pioneer Hall,Disciplinary Referral
TC24-101,Liquor Law Violation,10/25/24 1:45,10/30/24,Pioneer Hall,Disciplinary Referral
TC24-102,Stalking*,10/30/24,10/30/24,Minneapolis Campus,Reported
UM 24-311413,Auto Theft,10/29/2024 0438,10/29/24,1029 29th Ave ,Inactive
UM 24-311454,Bike Theft,10/28/2024 1600,10/29/24,701 Fulton St ,
UM 24-311458,Suicide,10/29/2024 1000,10/29/24,206 Church St ,Closed
UM 24-311581,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,10/28/2024 0850,10/29/24,1811 5th St ,Inactive
UM 24-311738,Bike Theft,10/28/2024 0004,10/29/24,309 19th Ave S,Inactive
UM 24-312005,No Valid Driver's Licen,10/29/2024 1828,10/29/24,15th Ave  / University Ave,Closed
UM 24-310401,Bike Theft,10/27/2024 1600,10/28/24,1212 University Ave ,
UM 24-310429,Bike Theft,10/24/2024 0950,10/28/24,2231 6th St ,
UM 24-310505,Bike Theft,10/25/2024 0900,10/28/24,200 Union St ,Inactive
UM 24-310659,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,10/28/2024 1551,10/28/24,Transfer Rd / University Ave ,Closed
UM 24-310685,Bike Theft,10/27/2024 0353,10/28/24,326 17th Ave ,Inactive
UM 24-310855,Miscellanous,10/27/2024 1900,10/28/24,210 Delaware St ,Closed
UM 24-311044,Public Urination,10/28/2024 2126,10/28/24,315 29th Ave ,Closed
TC24-094,Liquor Law Violation,10/12/24 1:30,10/28/24,Pioneer Hall,Disciplinary Referral
TC24-095,Liquor Law Violation x2,10/11/24 20:20,10/28/24,Middlebrook Hall,Disciplinary Referral
TC24-096,Liquor Law Violation x2,10/4/24,10/28/24,Middlebrook Hall,Disciplinary Referral
MP 24-715906,Theft,10/26/24 14:30,10/28/24,1715 5th St ,Reported
UM 24-310077,No Valid Driver's Licen,10/27/2024 2308,10/28/24,301 19th Ave S,Closed
UM 24-309286,Health Welfare Hold,10/27/2024 0145,10/27/24,Number 9 Bridge,Closed
UM 24-309518,Warrant,10/27/2024 1018,10/27/24,500 Cedar Ave S,Arrest
UM 24-309557,Driving After Suspension,10/27/2024 1114,10/27/24,Beacon St  / Ontario St ,Closed
UM 24-309697,Warrant,10/27/2024 1440,10/27/24,University Ave  / Huron Blvd,Closed
UM 24-309747,Burglary of Dwelling,10/25/2024 2349,10/27/24,1813 University Ave ,
UM 24-309826,Receiving Stolen Property / Narcotics Violaction,10/27/2024 1703,10/27/24,Oak St  / Washington Ave,
UM 24-309848,Terroristic Threats,10/27/2024 1700,10/27/24,500 Harvard St ,Jurisdiction Transfer
UM 24-308246,Hit / Run Property Damage,10/26/2024 0223,10/26/24,17th Ave  / University Ave,
UM 24-308323,Overdo,10/26/2024 0613,10/26/24,2301 University Ave ,Closed
UM 24-308366,Trespass / Warrant,10/26/2024 0838,10/26/24,401 Oak St ,Arrest
UM 24-308477,Theft from Building,10/25/2024 1700,10/26/24,106 Pleasant St ,
UM 24-308619,Theft from Building,10/12/2024 1400,10/26/24,417 Walnut St ,Inactive
UM 24-308892,Theft from Person,10/26/2024 1845,10/26/24,224 Church St ,
UM 24-308902,Theft,10/26/2024 1830,10/26/24,302 15th Ave ,Inactive
UM 24-307303,Interfere with Privacy,10/25/2024 0740,10/25/24,123 Harvard St ,
UM 24-307483,Recover Property,10/25/2024 1244,10/25/24,1801 Riverside Ave,Closed
UM 24-307570,Burglary of Dwelling,10/25/2024 0200,10/25/24,1122 University Ave ,
UM 24-307753,Crisis Intervention,10/25/2024 1731,10/25/24,607 Erie St ,Closed
UM 24-307943,No Proof of Insurance / No Valid Driver's License,10/25/2024 2046,10/25/24,15th Ave  / 5th St ,Closed
UM 24-307956,Hit / Run No Injury,10/25/2024 2050,10/25/24,12th Ave  / University Ave,
UM 24-308026,Licen Violation / Fail to Stop (Sign),10/25/2024 2224,10/25/24,4th St  / 15th Ave ,Closed
UM 24-308043,Non-Vehicular Accident,10/25/2024 2244,10/25/24,University Ave  / 17th Ave,Closed
UM 24-306582,Crisis Intervention,10/24/2024 1348,10/24/24,516 15th Ave ,Closed
UM 24-306824,Trespass / Warrant,10/24/2024 1756,10/24/24,400 21st Ave S,Arrest
UM 24-306526,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,10/24/2024 1244,10/24/24,231 Pillsbury Dr ,Closed
UM 24-306708,Bike Theft,10/24/2024 1030,10/24/24,301 19th Ave S,Inactive
UM 24-306712,Non-Vehicular Accident,10/24/2024 1620,10/24/24,300 Washington Ave ,Closed
UM 24-306868,Criminal xual Conduct-Molest,10/23/2024 2030,10/24/24,210 Delaware St ,
UM 24-306874,Bike Theft / Recover Property,10/24/2024 1600,10/24/24,216 Pillsbury Dr ,Closed
UM 24-306152,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,10/24/2024 0035,10/24/24,Huron Blvd  / Esx St ,Closed
UM 24-305731,Bike Theft,10/23/2024 1200,10/23/24,207 Pleasant St ,Inactive
UM 24-305320,Bike Theft,10/23/2024 0319,10/23/24,615 Fulton St ,
UM 24-305435,Non-Vehicular Accident,10/23/2024 1217,10/23/24,560 Ontario St ,Closed
UM 24-305517,Burglary of Dwelling,10/23/2024 0615,10/23/24,1122 University Ave ,
UM 24-305520,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,10/20/2024 2000,10/23/24,123 Harvard St ,
UM 24-305812,Narcotics,10/23/2024 1805,10/23/24,300 19th Ave S,
UM 24-305874,No Proof of Insurance,10/23/2024 1859,10/23/24,Washington Ave  / Walnut St,Closed
MP 24-304098,Assault with a Dangerous Weapon,10/22/24 2:06,10/23/24,19th Ave S & Riverside Ave,Reported
MP 24-715510,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,10/18/24 21:00,10/23/24,Washington Ave  & Walnut St,Reported
MP 24-715485,Bike Theft,10/19/24 8:30,10/23/24,319 12th Ave ,Reported
MP 24-715397,Hit and Run-Unattended Vehicle,10/19/24 15:17,10/23/24,324 14th Ave ,Reported
UM 24-305123,Miscellaneous,10/23/2024 0050,10/23/24,1122 University Ave ,Closed
UM 24-303258,Theft from Building,10/15/2024 1500,10/22/24,106 Pleasant Ave S,Inactive
UM 24-304454,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,10/22/2024 0915,10/22/24,Fulton St  / Erie St ,Active
UM 24-304656,Bike Theft,10/22/2024 1510,10/22/24,515 Delaware St ,Inactive
UM 24-304667,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,10/22/2024 1440,10/22/24,225 19th Ave S,
UM 24-304713,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,10/22/2024 1459,10/22/24,501 Washington Ave ,Inactive
UM 24-304914,Trespass,10/22/2024 2004,10/22/24,117 Pleasant St ,Arrest
UM 24-303603,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,10/21/2024 0855,10/21/24,229 19th Ave S,Inactive
UM 24-303203,Theft from Building,10/21/2024 0839,10/21/24,225 19th Ave S,
UM 24-303225,Trespass / Warrant,10/21/2024 0916,10/21/24,1920 2nd St S,Closed
UM 24-303231,Miscellaneous,10/21/2024 0924,10/21/24,425 20th Ave S,Closed
UM 24-303468,Auto Theft,10/21/2024 1000,10/21/24,2301 6th St ,Inactive
